"","status_calculated","year","region","n","year_label"
"1","Applicant",2014,"Central",139,14
"2","Applicant",2014,"Eastern",98,14
"3","Applicant",2014,"Metro",636,14
"4","Applicant",2014,"North Coast",103,14
"5","Applicant",2014,"Siskiyou",45,14
"6","Applicant",2014,"Southern",521,14
"7","Applicant",2014,"Willamette",619,14
"8","Applicant",2015,"Central",130,15
"9","Applicant",2015,"Eastern",94,15
"10","Applicant",2015,"Metro",612,15
"11","Applicant",2015,"North Coast",86,15
"12","Applicant",2015,"Siskiyou",30,15
"13","Applicant",2015,"Southern",405,15
"14","Applicant",2015,"Willamette",486,15
"15","Applicant",2016,"Central",197,16
"16","Applicant",2016,"Eastern",148,16
"17","Applicant",2016,"Metro",900,16
"18","Applicant",2016,"North Coast",104,16
"19","Applicant",2016,"Siskiyou",33,16
"20","Applicant",2016,"Southern",546,16
"21","Applicant",2016,"Willamette",774,16
"22","Applicant",2017,"Central",171,17
"23","Applicant",2017,"Eastern",127,17
"24","Applicant",2017,"Metro",859,17
"25","Applicant",2017,"North Coast",111,17
"26","Applicant",2017,"Siskiyou",56,17
"27","Applicant",2017,"Southern",466,17
"28","Applicant",2017,"Willamette",805,17
"29","Applicant",2018,"Central",213,18
"30","Applicant",2018,"Eastern",180,18
"31","Applicant",2018,"Metro",1030,18
"32","Applicant",2018,"North Coast",124,18
"33","Applicant",2018,"Siskiyou",46,18
"34","Applicant",2018,"Southern",570,18
"35","Applicant",2018,"Willamette",947,18
